rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;MORNINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;YIELDATWAP;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
ABRD;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акции обыкновенные;RU000A0JS5T7;1-02-12500-A;3;1,0;RUB;98000184;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;02.10.2012;0;0;0;0;;2021-07-12;;;закрытие реестра;"Публичное акционерное общество ""Абрау – Дюрсо""";7727620673;10;171,343;171,343;;342,686;;342,686;;342,686;100,0;;;;;22,73;56,20
ACKO;АСКО ао;АСКО-СТРАХОВАНИЕ ПАО ао;Акции обыкновенные;RU000A0JXS91;1-01-52065-Z;3;1,0;RUB;536000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;11.07.2017;0;0;0;0;;2020-07-14;;;закрытие реестра;"Публичное акционерное общество ""АСКО-СТРАХОВАНИЕ""";7453297458;100;3,5772;3,5772;;7,1544;;7,1544;;7,1544;100,0;;;;;15,02;22,51
AER-RM;AerCap;AerCap Holdings N.V._ORD SHS;Акции обыкновенные;NL0000687663;;;0,01;USD;212318291;0;1;EQRD;РЕПО с ЦК 1 день (USD) - безадрес.;;;02.02.2022;0;0;1;0;;;;;;AerCap Holdings;0000005421;1;4766,19;4766,19;;9532,38;;9532,38;;9532,38;100,0;;;;;;
AFKS;Система ао;"АФК ""Система"" ПАО ао";Акции обыкновенные;RU000A0DQZE3;1-05-01669-A;1;0,09;RUB;9650000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;12.12.2007;1;1;0;0;;2021-07-15;0.31;0.0103;закрытие реестра;"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""";7703104630;100;19,6264;19,6264;13,9347;25,3181;12,7572;26,4956;11,3833;27,8695;29,0;5975432;35,0;29877160;42,0;4,66;6,04
AFLT;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акции обыкновенные;RU0009062285;1-01-00010-A;1;1,0;RUB;2444535448;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;13.02.2004;1;1;0;0;;2019-07-05;2.6877;0.0244;закрытие реестра;"публичное акционерное общество ""Аэрофлот – российские авиалинии""";7712040126;10;55,813;55,813;45,209;66,417;41,86;69,766;37,953;73,673;19,0;2375879;25,0;11879394;32,0;4,82;7,15
AKCH;ETF AKCH;БПИФ Альфа Китайские Акции;Паи биржевых ПИФов;RU000A102FK8;4222;1;0,0;RUB;;0;0;TQTF;Т+: ETF - безадрес.;;;18.12.2020;1;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;75,25;75,25;40,64;109,87;23,33;127,17;;150,5;46,0;104340;69,0;521702;100,0;;
AKEB;AKEB ETF;БПИФ Альфа Управляемые Еврообл;Паи биржевых ПИФов;RU000A103ZC1;4667;1;0,0;RUB;;0;1;TQTF;Т+: ETF - безадрес.;;;22.11.2021;1;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;71,15;71,15;;142,3;;142,3;;142,3;100,0;;;;;;
AKEU;AKEU ETF;БПИФ АЛЬФА_КАП ЕВРОПА 600;Паи биржевых ПИФов;RU000A100Q43;3805;3;0,0;EUR;;0;1;TQTE;Т+: ETF (расч. в EUR) - безадрес.;;;26.08.2019;1;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;1104,81;1104,81;806,51;1403,11;662,89;1546,73;;2209,62;27,0;20000;40,0;100000;100,0;;
AKGD;AKGD ETF;БПИФ Альфа Капитал Золото;Паи биржевых ПИФов;RU000A1045N8;4713;1;0,0;RUB;;0;0;TQTF;Т+: ETF - безадрес.;;;21.12.2021;1;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;101,18;101,18;;202,36;;202,36;;202,36;100,0;;;;;;
AKMB;ETF AKMB;БПИФ Альфа Управляем облигации;Паи биржевых ПИФов;RU000A101PN3;4039;1;0,0;RUB;;0;0;TQTF;Т+: ETF - безадрес.;;;02.06.2020;1;0;0;0;;;;;;"Общество с ограниченной ответственностью ""Управляющая компания ""Альфа-Капитал""";7728142469;1;1,11;1,11;;2,22;;2,22;;2,22;100,0;;;;;;
