,DATE,TIME,GAZR,GMKN,LKOH,SBRF,VTBR,RTS
0,20210104,110000,21639.0,24383.0,52940.0,27650.0,3846.0,142760.0
1,20210104,120000,21759.0,24522.0,53206.0,27650.0,3850.0,143420.0
2,20210104,130000,21805.0,24488.0,53078.0,27864.0,3857.0,143850.0
3,20210104,140000,21805.0,24450.0,52900.0,27793.0,3853.0,143490.0
4,20210104,150000,21767.0,24431.0,52887.0,27838.0,3885.0,143130.0
5,20210104,160000,21724.0,24479.0,52774.0,27764.0,3868.0,143000.0
6,20210104,170000,21764.0,24672.0,52960.0,27888.0,3872.0,143480.0
7,20210104,180000,21805.0,24758.0,52959.0,27897.0,3869.0,143310.0
8,20210104,190000,21732.0,24733.0,52868.0,27807.0,3854.0,142270.0
9,20210104,200000,21626.0,24619.0,52573.0,27635.0,3844.0,140970.0
10,20210104,210000,21436.0,24479.0,52544.0,27412.0,3824.0,140680.0
11,20210104,220000,21536.0,24588.0,52691.0,27520.0,3840.0,141480.0
12,20210104,230000,21510.0,24526.0,52652.0,27482.0,3830.0,141220.0
13,20210105,0,21451.0,24532.0,52631.0,27432.0,3828.0,140550.0
14,20210105,110000,21281.0,24450.0,52447.0,27303.0,3833.0,138730.0
15,20210105,120000,21541.0,24767.0,52937.0,27476.0,3857.0,139860.0
16,20210105,130000,21518.0,24827.0,53004.0,27512.0,3854.0,140490.0
17,20210105,140000,21602.0,24804.0,52922.0,27568.0,3867.0,141030.0
18,20210105,150000,21555.0,24814.0,52805.0,27516.0,3857.0,140770.0
19,20210105,160000,21489.0,24701.0,52953.0,27566.0,3866.0,140710.0
20,20210105,170000,21406.0,24728.0,52905.0,27430.0,3852.0,140080.0
21,20210105,180000,21603.0,24840.0,53512.0,27802.0,3885.0,142100.0
22,20210105,190000,21611.0,24760.0,53528.0,27651.0,3880.0,142200.0
23,20210105,200000,21651.0,24830.0,53810.0,27684.0,3866.0,143000.0
24,20210105,210000,21673.0,24820.0,53900.0,27710.0,3870.0,143350.0
25,20210105,220000,21686.0,24815.0,53994.0,27762.0,3875.0,143720.0
26,20210105,230000,21683.0,24853.0,53980.0,27775.0,3878.0,143520.0
27,20210106,0,21708.0,24901.0,54070.0,27781.0,3880.0,143610.0
28,20210106,110000,21726.0,24860.0,53940.0,27647.0,3871.0,144320.0
29,20210106,120000,21603.0,24866.0,53634.0,27548.0,3852.0,142780.0
30,20210106,130000,21691.0,24933.0,53901.0,27636.0,3867.0,143860.0
31,20210106,140000,21680.0,25042.0,54237.0,27587.0,3870.0,143910.0
32,20210106,150000,21607.0,25165.0,54245.0,27570.0,3861.0,143860.0
33,20210106,160000,21494.0,25107.0,53985.0,27470.0,3842.0,143060.0
34,20210106,170000,21580.0,25213.0,54190.0,27416.0,3852.0,142970.0
35,20210106,180000,21610.0,25214.0,54316.0,27550.0,3850.0,143320.0
36,20210106,190000,21653.0,25248.0,54285.0,27653.0,3875.0,143350.0
37,20210106,200000,21710.0,25238.0,54316.0,27641.0,3881.0,143380.0
38,20210106,210000,21721.0,25253.0,54330.0,27642.0,3880.0,143930.0
39,20210106,220000,21670.0,25225.0,54461.0,27641.0,3878.0,143770.0
40,20210106,230000,21591.0,25171.0,54185.0,27529.0,3863.0,142850.0
41,20210107,0,21606.0,25222.0,54121.0,27536.0,3860.0,143120.0
42,20210108,110000,22398.0,26330.0,55393.0,27914.0,3900.0,145300.0
43,20210108,120000,22401.0,26316.0,55402.0,28273.0,3922.0,144850.0
44,20210108,130000,22379.0,26389.0,55293.0,28290.0,3914.0,145320.0
45,20210108,140000,22522.0,26470.0,55298.0,28430.0,3914.0,145570.0
46,20210108,150000,22566.0,26630.0,55466.0,28503.0,3923.0,146430.0
47,20210108,160000,22564.0,26665.0,55492.0,28478.0,3928.0,146670.0
48,20210108,170000,22632.0,26672.0,55789.0,28527.0,3939.0,147510.0
49,20210108,180000,22704.0,26672.0,55839.0,28612.0,3926.0,147350.0
50,20210108,190000,22600.0,26649.0,55715.0,28483.0,3927.0,146880.0
51,20210108,200000,22634.0,26639.0,55685.0,28492.0,3923.0,147140.0
52,20210108,210000,22638.0,26627.0,55720.0,28478.0,3928.0,146810.0
53,20210108,220000,22631.0,26624.0,55742.0,28437.0,3916.0,146370.0
54,20210108,230000,22705.0,26704.0,55925.0,28587.0,3930.0,147090.0
55,20210109,0,22745.0,26747.0,56000.0,28616.0,3937.0,147550.0
56,20210111,110000,22728.0,26704.0,55534.0,28512.0,3916.0,145950.0
57,20210111,120000,23266.0,27237.0,56638.0,29251.0,3972.0,148600.0
58,20210111,130000,23110.0,27081.0,56246.0,29042.0,3964.0,148000.0
59,20210111,140000,23029.0,27050.0,56397.0,29146.0,3958.0,147810.0
60,20210111,150000,23020.0,27104.0,56214.0,29211.0,3959.0,147810.0
61,20210111,160000,23085.0,26883.0,56368.0,29444.0,4018.0,147960.0
62,20210111,170000,22682.0,26557.0,56133.0,29222.0,3979.0,145850.0
63,20210111,180000,22828.0,26365.0,56472.0,29154.0,3979.0,146440.0
64,20210111,190000,22957.0,26679.0,56498.0,29162.0,3987.0,146790.0
65,20210111,200000,23004.0,26548.0,56433.0,29185.0,4008.0,147160.0
66,20210111,210000,22988.0,26560.0,56432.0,29194.0,4013.0,147460.0
67,20210111,220000,22916.0,26560.0,56399.0,29180.0,4013.0,147300.0
68,20210111,230000,22900.0,26462.0,56410.0,29174.0,4013.0,147160.0
69,20210112,0,22934.0,26492.0,56442.0,29177.0,4020.0,146970.0
70,20210112,110000,23227.0,26423.0,57116.0,29686.0,4069.0,149150.0
71,20210112,120000,23028.0,26534.0,57303.0,29482.0,4053.0,148210.0
72,20210112,130000,23024.0,26407.0,57286.0,29523.0,4057.0,148600.0
73,20210112,140000,23076.0,26432.0,57415.0,29510.0,4073.0,148420.0
74,20210112,150000,23043.0,26259.0,57404.0,29452.0,4058.0,148280.0
75,20210112,160000,23086.0,26352.0,57508.0,29452.0,4053.0,148480.0
76,20210112,170000,22813.0,26122.0,57263.0,29126.0,4017.0,147200.0
77,20210112,180000,22812.0,25953.0,57174.0,29066.0,4032.0,147330.0
78,20210112,190000,22962.0,26011.0,57401.0,29067.0,4040.0,148520.0
79,20210112,200000,22969.0,25981.0,57480.0,29006.0,4042.0,148440.0
80,20210112,210000,22950.0,26008.0,57477.0,29080.0,4030.0,148240.0
81,20210112,220000,22939.0,26027.0,57449.0,29070.0,4034.0,148480.0
82,20210112,230000,23012.0,26110.0,57509.0,29172.0,4043.0,148780.0
83,20210113,0,23056.0,26151.0,57661.0,29225.0,4030.0,149160.0
84,20210113,110000,22952.0,25859.0,58232.0,29012.0,4057.0,148840.0
85,20210113,120000,22980.0,25809.0,58075.0,28800.0,3998.0,148010.0
86,20210113,130000,23126.0,25782.0,58184.0,28858.0,4025.0,148350.0
87,20210113,140000,23043.0,25694.0,57662.0,28732.0,4018.0,147700.0
88,20210113,150000,23134.0,25939.0,58079.0,28829.0,4033.0,148450.0
89,20210113,160000,22986.0,25923.0,57763.0,28781.0,4022.0,147940.0
90,20210113,170000,22968.0,25992.0,57956.0,28700.0,4023.0,148360.0
91,20210113,180000,22862.0,26075.0,57775.0,28616.0,4007.0,147700.0
92,20210113,190000,22923.0,26138.0,58185.0,28573.0,4004.0,148300.0
93,20210113,200000,22917.0,26160.0,58168.0,28605.0,4000.0,147980.0
94,20210113,210000,22929.0,26139.0,58145.0,28621.0,4006.0,148080.0
